Raw_V1 (Pressure),Raw_V2 (Rubber)
249.011,1097.583
256.264,1109.67
250.623,1091.135
257.07,1097.583
250.623,1082.271
257.07,1088.718
252.234,1075.018
257.875,1083.883
253.846,1073.406
258.681,1087.106
251.429,1068.572
255.458,1081.465
252.234,1069.377
258.681,1083.077
255.458,1069.377
256.264,1081.465
253.04,1066.154
259.487,1087.912
253.04,1067.766
257.07,1080.659
252.234,1069.377
257.875,1084.689
249.817,1079.048
258.681,1092.747
253.846,1083.883
257.07,1101.612
250.623,1089.524
260.293,1094.359
252.234,1094.359
260.293,1111.282
253.04,1102.417
259.487,1117.729
252.234,1102.417
257.875,1120.952
250.623,1118.535
257.875,1137.875
254.652,1141.905
261.099,1169.304
252.234,1167.692
257.875,1193.48
252.234,1198.315
256.264,1227.326
252.234,1235.385
261.099,1274.066
249.011,1275.678
260.293,1314.359
250.623,1332.088
258.681,1361.099
251.429,1373.993
261.905,1401.392
250.623,1413.48
259.487,1450.549
251.429,1456.19
260.293,1481.978
249.817,1491.648
257.875,1517.436
255.458,1525.495
260.293,1546.447
253.04,1554.505
260.293,1569.011
250.623,1578.681
261.099,1604.469
249.011,1610.916
260.293,1635.092
249.011,1647.179
260.293,1660.879
248.205,1658.462
260.293,1671.355
249.011,1675.385
262.711,1687.473
249.817,1688.278
259.487,1698.755
248.205,1704.396
261.099,1697.949
248.205,1707.619
262.711,1722.93
246.593,1727.766
266.74,1727.766
249.817,1741.465
262.711,1751.941
247.399,1769.67
262.711,1780.146
245.788,1795.458
261.905,1796.264
245.788,1794.652
263.516,1791.429
245.788,1789.011
262.711,1800.293
248.205,1800.293
261.905,1804.322
243.37,1808.352
261.905,1831.722
244.982,1828.498
266.74,1834.139
245.788,1832.527
263.516,1831.722
244.982,1838.974
265.128,1841.392
244.982,1847.033
264.322,1849.451
247.399,1852.674
262.711,1855.897
246.593,1860.733
259.487,1874.432
242.564,1880.073
262.711,1884.908
244.982,1898.608
263.516,1890.549
244.176,1892.967
263.516,1925.201
247.399,1917.949
264.322,1911.502
244.176,1914.725
262.711,1913.114
244.982,1920.366
264.322,1912.308
244.982,1917.949
262.711,1914.725
246.593,1911.502
262.711,1907.473
245.788,1905.861
260.293,1896.996
245.788,1901.026
265.934,1879.267
245.788,1891.355
262.711,1878.462
244.982,1882.491
258.681,1877.656
232.894,1881.685
250.623,1871.209
237.729,1867.179
257.07,1846.227
244.982,1851.062
270.769,1826.886
286.886,1823.663
344.908,1809.963
369.084,1805.934
419.048,1789.011
462.564,1801.099
535.897,1779.341
556.044,1787.399
635.824,1775.311
669.67,1776.923
739.78,1764.835
775.238,1765.641
841.319,1752.747
867.912,1761.612
928.352,1739.048
942.857,1749.524
986.374,1730.989
1001.685,1732.601
1029.084,1720.513
1050.843,1717.289
1073.407,1716.484
1070.183,1722.93
1127.399,1706.007
